hhid;vilid;distid;stateid;gender;male_adult;female_adult;male_child;female_child;age;educ;esw_hear;esw_use;esw_plan;zt_hear;zt_use;zt_plan;plot_area_num;wheat_number;wheat_value;cost_nonlab;cost_lab;water;fuel;lighting;income;income_agric
1210 11;1210;Kurukshetra;Haryana;Male;3;2;1;0;73;Completed university degree;1;1;Don't know yet;1;2;Don't know yet;3;66;132000;35000;6000;Borewell in residence yard;LPG;Solar;;
1210 12;1210;Kurukshetra;Haryana;Male;3;1;0;0;43;Completed secondary education;2;;;2;;;3;66;132000;45000;15000;Pipeline inside own house;LPG;Solar;;
1210 13;1210;Kurukshetra;Haryana;Male;3;2;1;0;50;Completed secondary education;2;;;1;2;No;6;84;168000;48600;9000;Pipeline inside own house;LPG;Solar;;
1210 14;1210;Kurukshetra;Haryana;Male;2;2;0;1;50;Completed primary education;2;;;1;2;Don't know yet;2;44;88000;26000;8000;Pipeline inside own house;LPG;Solar;150000;0
1210 15;1210;Kurukshetra;Haryana;Male;2;2;0;0;22;Completed university degree;2;;;2;;;3;66;132000;21000;15000;Borewell in residence yard;LPG;Solar;;
1210 16;1210;Kurukshetra;Haryana;Female;2;2;1;1;48;Some secondary education;2;;;1;2;Don't know yet;2;44;88000;25000;5000;Pipeline inside own house;LPG;Solar;;
1210 17;1210;Kurukshetra;Haryana;Male;4;3;1;1;48;Some university education;2;;;2;;;3;60;120000;24000;21000;Pipeline inside own house;Electricity;Solar;450000;50
1210 18;1210;Kurukshetra;Haryana;Male;2;1;0;0;50;Some secondary education;1;2;Yes;2;;;1,5;27;54000;12000;7500;Borewell in residence yard;LPG;Solar;96000;20
1301 1;1301;Mahendragarh;Haryana;Male;3;2;1;3;36;Some secondary education;2;;;2;;;1;24;50000;19000;15000;Borewell in residence yard;Wood;Solar;100000;0
1301 3;1301;Mahendragarh;Haryana;Male;2;2;0;0;65;Completed primary education;2;;;2;;;1,25;25;55000;5000;7000;Pipeline inside own house;Wood;Solar;150000;0
1301 5;1301;Mahendragarh;Haryana;Male;2;2;1;0;34;Completed secondary education;2;;;2;;;3;20;50000;16000;30000;Pipeline inside own house;LPG;Solar;50000;0
1301 6;1301;Mahendragarh;Haryana;Male;4;2;1;1;40;Completed secondary education;2;;;2;;;3;121,999428;23000;16800;42000;Pipeline inside own house;Wood;Solar;150000;0
1301 7;1301;Mahendragarh;Haryana;Male;3;2;0;0;63;Completed primary education;2;;;2;;;1;38,12482125;40000;17000;10000;Pipeline inside own house;Leaves/ grass/ rice husks /stubble /straw;Solar;60000;0
1301 8;1301;Mahendragarh;Haryana;Male;3;3;3;1;30;Completed secondary education;2;;;2;;;2;20;44000;10000;16000;Pipeline inside own house;LPG;Solar;290000;50
1301 9;1301;Mahendragarh;Haryana;Male;3;1;0;0;50;Completed secondary education;2;;;2;;;1;24;52800;20000;0;Pipeline inside own house;Wood;Solar;60000;0
1301 11;1301;Mahendragarh;Haryana;Male;2;2;0;0;58;Some secondary education;2;;;2;;;1;22,87489275;24000;9500;8000;Pipeline inside own house;Dung;Solar;;
1301 12;1301;Mahendragarh;Haryana;Male;4;3;3;1;80;Completed primary education;2;;;2;;;7,5;50;100000;18000;10000;Pipeline inside own house;Wood;Solar;100000;0
1301 13;1301;Mahendragarh;Haryana;Male;2;1;0;0;70;Completed secondary education;2;;;2;;;1;38,12482125;40000;10500;6000;Tanker-supplied water;Dung;Solar;;0
1301 14;1301;Mahendragarh;Haryana;Male;4;1;0;0;76;No formal education;2;;;2;;;0,75;20;40000;10000;5000;Pipeline inside own house;Wood;Solar;100000;10
1301 15;1301;Mahendragarh;Haryana;Male;2;1;0;0;53;Completed secondary education;2;;;2;;;2;30;67500;10000;7000;Pipeline inside own house;LPG;Solar;100000;0
1301 16;1301;Mahendragarh;Haryana;Female;4;2;1;0;50;No formal education;2;;;2;;;3;50;100000;15000;10000;Public well – sealed with pump/ handpump;Wood;Solar;150000;0
1301 17;1301;Mahendragarh;Haryana;Male;3;3;0;0;72;Completed primary education;2;;;2;;;1,5;20;44000;3000;7000;Pipeline inside own house;LPG;Solar;150000;15
